"ÐžÑ‚Ð¼ÐµÑ‚ÐºÐ° Ð²Ñ€ÐµÐ¼ÐµÐ½Ð¸","How often do you visit or order food from Chinese cuisine establishments?","Which of the following Chinese cuisine establishments have you visited or ordered from at least once?","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Authenticity of taste]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Ingredient quality]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Menu variety]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Price-to-quality ratio]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Service speed]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Atmosphere and interior]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Convenience of ordering and delivery]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Hygiene and cleanliness]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Availability of vegetarian options]","When visiting Chinese cuisine establishments in general, how would you rate the following aspects on a scale from 1 to 5? [Level of technological integration (QR menu, online ordering, etc.)]","Choose the most important criterias to you when choosing a Chinese cuisine establishment. ","Choose the most important  factors  as barriers to the development of Chinese cuisine in China for you.","Your gender","Your age ","For what purpose do you most offen visit Chinese restaurant?
","How important is the authenticity (traditional nature) of Chinese cuisine to you?","Are you willing to pay more for the use if eco-friendly packaging in establishment?","Which format of interaction with establishment do you prefer?","What changes or improvements would you like to see in Chinese cuisine establishments in China?"
"2025/12/20 4:25:24 PM GMT+8","Daily","Saizeriya (Italian restaurant);Pizza Hut;Macdonalds China","4","3","5","3","5","2","4","2","4","5","Authentically of taste;Price-to-quality ratio;Convenience of ordering and delivery;Hygiene and cleanlinesss","High cost of rent and raw materials;Competition with other cuisines (Japanese, Korean)","Female","18-22 years old","Home/office delivery","2","No","Ordering through a tracking-enabled app","Iâ€™d love to see more flexibility in spice levelsâ€”many dishes are overwhelmingly spicy by default, and it would be great to have milder versions that still preserve authentic flavors. Offering clear spice indicators on menus would also help diners make informed choices."
"2025/12/20 4:38:25 PM GMT+8","Once a week","Hot Pot;Pizza Hut;Macdonalds China","4","4","4","4","4","4","4","4","4","4","Authentically of taste;Ingredient quality;Menu variety;Price-to-quality ratio;Service Speed;Atmosphere and interior;Convenience of ordering and delivery;Hygiene and cleanlinesss;Availability of vegetarian options;Level of technological integration","High cost of rent and raw materials;Shortage of qualified chefs;Low customer awareness of authentic Chinese cuisine;Competition with other cuisines (Japanese, Korean);Difficulties with logistics and ingredient supply","Female","18-22 years old","Working/studying in a cafe","4","Yes","Visiting the restaurant/cafe","I would like to see more attention to food hygiene, clearer menus for foreigners, and healthier cooking options while preserving traditional flavors."
"2025/12/20 4:38:30 PM GMT+8","Daily","Hot Pot;Macdonalds China;Chinese family business restaurants","4","4","2","5","5","2","5","2","3","5","Authentically of taste;Menu variety;Price-to-quality ratio;Service Speed;Level of technological integration","High cost of rent and raw materials","Female","18-22 years old","Quick lunch/snack","5","Yes","Food delivery","More variety of dishes(too much rice)"
"2025/12/20 4:39:45 PM GMT+8","Daily","Hot Pot;Pizza Hut;Macdonalds China","4","4","4","4","4","4","4","4","4","4","Authentically of taste;Ingredient quality;Menu variety;Atmosphere and interior","Shortage of qualified chefs","Male","18-22 years old","Dinner with friends/family","3","Hard to say","Visiting the restaurant/cafe","I think Chinese cuisine needs no changes at all"
"2025/12/20 4:39:50 PM GMT+8","Several times a week","Hot Pot;Pizza Hut;Macdonalds China","5","5","4","4","5","4","5","5","3","4","Authentically of taste;Atmosphere and interior;Hygiene and cleanlinesss;Level of technological integration","Shortage of qualified chefs;Low customer awareness of authentic Chinese cuisine","Female","18-22 years old","Dinner with friends/family","4","Hard to say","Ordering through a tracking-enabled app","I would like to see more transparency about ingredients, better accommodation for dietary needs, improved food safety consistency, and greater emphasis on regional diversity rather than standardized menus"
"2025/12/20 4:41:32 PM GMT+8","Daily","Saizeriya (Italian restaurant);Chinese family business restaurants","4","4","5","5","1","5","2","5","1","1","Menu variety;Price-to-quality ratio;Hygiene and cleanlinesss","High cost of rent and raw materials","Male","18-22 years old","Dinner with friends/family","1","Hard to say","Visiting the restaurant/cafe","english menu"
"2025/12/20 4:52:22 PM GMT+8","Several times a week","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut","5","4","3","4","5","4","5","5","3","4","Menu variety;Price-to-quality ratio","High cost of rent and raw materials;Shortage of qualified chefs;Difficulties with logistics and ingredient supply","Female","18-22 years old","Dinner with friends/family","5","Yes","Ordering through a tracking-enabled app","menu variety"
"2025/12/20 6:42:29 PM GMT+8","Several times a week","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut;Macdonalds China","4","5","2","5","5","3","5","5","3","5","Ingredient quality;Menu variety;Price-to-quality ratio","High cost of rent and raw materials;Difficulties with logistics and ingredient supply","Female","18-22 years old","Quick lunch/snack","4","No","Visiting the restaurant/cafe","-"
"2025/12/20 6:44:25 PM GMT+8","Daily","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut;Macdonalds China;Chinese family business restaurants","4","3","5","5","5","3","4","3","2","5","Authentically of taste;Menu variety;Price-to-quality ratio;Convenience of ordering and delivery;Hygiene and cleanlinesss;Level of technological integration","Competition with other cuisines (Japanese, Korean)","Male","18-22 years old","Dinner with friends/family","2","No","Visiting the restaurant/cafe","smaller portions, less sunflower oil"
"2025/12/20 7:24:15 PM GMT+8","Several times a week","Saizeriya (Italian restaurant);Pizza Hut","4","3","3","4","4","2","4","3","3","4","Ingredient quality;Price-to-quality ratio;Convenience of ordering and delivery;Hygiene and cleanlinesss","Competition with other cuisines (Japanese, Korean);Difficulties with logistics and ingredient supply","Female","18-22 years old","Dinner with friends/family","1","Yes","Food delivery","More European food"
"2025/12/20 8:28:17 PM GMT+8","Daily","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut;Macdonalds China;Chinese family business restaurants","5","5","5","5","5","3","5","4","1","5","Authentically of taste;Price-to-quality ratio;Convenience of ordering and delivery","High cost of rent and raw materials;Competition with other cuisines (Japanese, Korean)","Female","18-22 years old","Dinner with friends/family","5","Hard to say","Ordering through a tracking-enabled app","Foreigner-friendly apps"
"2025/12/20 9:05:26 PM GMT+8","1-2 times a month","Saizeriya (Italian restaurant)","3","3","2","2","5","5","5","3","3","5","Authentically of taste;Ingredient quality;Menu variety;Price-to-quality ratio;Atmosphere and interior;Convenience of ordering and delivery","High cost of rent and raw materials","Female","23-30 years old","Special occasion/celebration","3","Hard to say","Food delivery","More halal dishes, and less sharp dishes"
"2025/12/20 9:08:15 PM GMT+8","1-2 times a month","Saizeriya (Italian restaurant)","2","3","1","2","2","2","4","1","2","4","Ingredient quality;Menu variety;Price-to-quality ratio;Service Speed;Atmosphere and interior;Hygiene and cleanlinesss","High cost of rent and raw materials;Shortage of qualified chefs","Female","23-30 years old","Quick lunch/snack","3","Hard to say","Takeaway","hygiene"
"2025/12/20 11:04:03 PM GMT+8","Several times a week","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut;Macdonalds China;Chinese family business restaurants","5","5","4","5","5","5","5","3","5","5","Authentically of taste;Ingredient quality;Price-to-quality ratio;Atmosphere and interior;Hygiene and cleanlinesss","High cost of rent and raw materials;Shortage of qualified chefs;Low customer awareness of authentic Chinese cuisine;Difficulties with logistics and ingredient supply","Male","18-22 years old","Quick lunch/snack","5","No","Visiting the restaurant/cafe","English language "
"2025/12/21 2:59:40 AM GMT+8","Several times a week","Saizeriya (Italian restaurant);Hot Pot;Macdonalds China;Chinese family business restaurants","4","3","4","4","5","4","5","4","2","5","Authentically of taste;Ingredient quality;Menu variety;Price-to-quality ratio;Hygiene and cleanlinesss","High cost of rent and raw materials;Low customer awareness of authentic Chinese cuisine","Male","18-22 years old","Dinner with friends/family","4","Hard to say","Visiting the restaurant/cafe","Better ingredient quality"
"2025/12/21 4:47:32 PM GMT+8","Daily","Pizza Hut;Macdonalds China;Chinese family business restaurants","5","4","5","5","5","5","5","3","3","5","Ingredient quality;Menu variety;Hygiene and cleanlinesss","Shortage of qualified chefs;Low customer awareness of authentic Chinese cuisine","Female","23-30 years old","Dinner with friends/family","4","No","Takeaway","have less spicy options, stomach friendly! ðŸ¤—"
"2025/12/24 7:15:58 PM GMT+8","Daily","Dumping ","3","2","1","3","4","4","4","2","1","1","Service Speed","Low customer awareness of authentic Chinese cuisine","Male","Over 30 years old","Home/office delivery","1","No","Food delivery","More Halal food "
"2025/12/24 7:16:12 PM GMT+8","Daily","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut","4","3","4","4","5","2","4","2","3","5","Authentically of taste;Ingredient quality;Price-to-quality ratio;Service Speed;Hygiene and cleanlinesss;Availability of vegetarian options","High cost of rent and raw materials;Low customer awareness of authentic Chinese cuisine;Competition with other cuisines (Japanese, Korean)","Male","18-22 years old","Home/office delivery","3","No","Food delivery","clear allergen info, and multilingual menus"
"2025/12/24 7:18:35 PM GMT+8","Daily","Saizeriya (Italian restaurant);Macdonalds China;Chinese family business restaurants","5","3","4","4","5","3","5","2","3","5","Authentically of taste;Service Speed;Convenience of ordering and delivery;Availability of vegetarian options;Level of technological integration","High cost of rent and raw materials;Low customer awareness of authentic Chinese cuisine;Difficulties with logistics and ingredient supply","Female","18-22 years old","Quick lunch/snack","4","No","Visiting the restaurant/cafe","Better hygiene standards and staff who speak basic English"
"2025/12/24 7:21:53 PM GMT+8","Once a week","Saizeriya (Italian restaurant)","1","2","2","2","3","4","3","1","2","2","Availability of vegetarian options","Difficulties with logistics and ingredient supply","Male","23-30 years old","Working/studying in a cafe","5","Yes","Takeaway","To not make all foods spicy "
"2025/12/24 7:22:17 PM GMT+8","Daily","Saizeriya (Italian restaurant);Hot Pot;Pizza Hut;Macdonalds China","3","3","4","4","5","2","4","1","3","5","Price-to-quality ratio;Service Speed;Convenience of ordering and delivery","High cost of rent and raw materials;Competition with other cuisines (Japanese, Korean)","Male","18-22 years old","Dinner with friends/family","4","No","Visiting the restaurant/cafe","Fresher ingredients, less additives"
"2025/12/24 7:26:20 PM GMT+8","Daily","Hot Pot;Macdonalds China;Chinese family business restaurants","4","3","4","4","5","2","3","2","2","5","Authentically of taste;Price-to-quality ratio;Service Speed","High cost of rent and raw materials;Low customer awareness of authentic Chinese cuisine;Competition with other cuisines (Japanese, Korean)","Female","18-22 years old","Quick lunch/snack","4","No","Visiting the restaurant/cafe","More regional diversity on menu"
"2025/12/24 7:28:32 PM GMT+8","Daily","Saizeriya (Italian restaurant);Pizza Hut;Macdonalds China","5","3","3","4","4","3","4","2","3","5","Authentically of taste;Price-to-quality ratio;Service Speed;Level of technological integration","High cost of rent and raw materials;Low customer awareness of authentic Chinese cuisine","Male","18-22 years old","Dinner with friends/family","3","No","Visiting the restaurant/cafe","Less oil and fat"
"2025/12/24 7:48:51 PM GMT+8","Daily","Hot Pot","4","3","3","3","3","4","4","3","4","4","Authentically of taste;Ingredient quality;Menu variety;Price-to-quality ratio;Service Speed","High cost of rent and raw materials;Shortage of qualified chefs","Female","18-22 years old","Special occasion/celebration","3","Hard to say","Visiting the restaurant/cafe","More dishes for vegetarians "
"2025/12/24 7:50:30 PM GMT+8","1-2 times a month","Macdonalds China","1","1","1","1","1","1","2","3","3","2","Convenience of ordering and delivery;Hygiene and cleanlinesss","High cost of rent and raw materials","Male","23-30 years old","Dinner with friends/family","5","No","Ordering through a tracking-enabled app","Use less oil "